Date;Temp;Pluie;nb_visiteurs;note_moyenne;note_count
janv-18;11.74;0.31;46;4.72;46
févr-18;16.53;1.18;42;4.62;42
mars-18;21.65;1.47;65;4.66;65
avr-18;21.89;0.33;75;4.67;75
mai-18;28.48;0.87;41;4.49;41
juin-18;31.42;0.92;35;4.60;35
juil-18;31.81;1.36;33;4.61;33
août-18;31.76;1.59;32;4.63;32
sept-18;28.34;5.36;20;4.65;20
oct-18;23.21;3.33;37;4.89;37
nov-18;15.81;0.51;33;4.67;33
déc-18;14.08;1.29;56;4.62;56
janv-19;13.28;3.32;18;4.28;18
févr-19;15.97;0.99;45;4.42;45
mars-19;18.16;1.21;40;4.83;40
avr-19;22.45;4.19;49;4.47;49
mai-19;26.75;8.82;23;4.52;23
juin-19;29.29;2.84;23;4.96;23
juil-19;30.89;1.61;27;4.85;27
août-19;32.74;3.69;19;4.79;19
sept-19;31.32;4.68;9;4.78;9
oct-19;23.03;6.03;35;4.77;35
nov-19;15.04;1.61;26;4.69;26
déc-19;13.23;0.46;31;4.74;31
janv-20;14.91;2.52;23;4.83;23
févr-20;13.67;2.49;25;4.68;25
mars-20;21.02;2.30;8;4.75;8
avr-20;21.62;2.32;0;;0
mai-20;25.83;10.51;3;4.33;3
juin-20;27.96;3.44;3;5.00;2
juil-20;30.33;1.95;5;;0
août-20;30.40;2.67;5;5.00;1
sept-20;25.98;5.13;12;4.50;2
oct-20;22.45;0.77;24;4.82;11
nov-20;19.09;0.99;20;;0
déc-20;12.73;4.48;17;4.67;3
janv-21;12.56;1.38;29;4.33;3
févr-21;10.56;1.53;13;5.00;2
mars-21;19.39;0.79;20;4.58;12
avr-21;22.93;2.22;21;4.13;8
mai-21;25.87;10.88;18;4.92;13
juin-21;29.85;3.11;17;5.00;10
juil-21;29.40;3.21;15;5.00;3
août-21;30.81;0.88;22;5.00;2
sept-21;29.88;0.51;13;5.00;2
