,Nombre de visiteurs
Argentina,30
Australia,54
Austria,5
Bangladesh,1
Belgium,15
Bosnia-Herzegovina,1
Brazil,45
Canada,170
Cayman Islands,1
Chile,3
China,4
Colombia,6
Costa Rica,3
Croatia,2
Curaçao,1
Czechia,2
Denmark,1
Dominican Republic,1
Ecuador,3
Estonia,2
Finland,5
France,220
Georgia,2
Germany,76
Haïti,3
Honduras,1
Hong Kong,3
India,24
Indonesia,6
Ireland,10
Israel,7
Italy,144
Japan,19
Jordan,1
Kazakhstan,1
Lithuania,1
Malaysia,2
Malta,1
Mexico,19
Morocco,7
Nepal,1
Netherlands,42
New Zealand,1
Norway,1
Pakistan,1
Peru,2
Philippines,4
Poland,1
Portugal,6
Puerto Rico,1
Qatar,1
Romania,2
Russia,13
Saint Lucia,1
Singapore,1
Slovakia,1
Slovenia,1
Spain,56
Sri Lanka,1
Sweden,8
Switzerland,18
Taiwan,7
Tanzania,2
Thailand,2
Tunisia,13
Turkey,1
Ukraine,1
United Kingdom,217
United States,1544
Uruguay,3
Vietnam,1
